Application: Tecan i-control,,,,"Tecan i-control , 1.9.17.0",,,,,,,,
Device: infinite 200,,,,Serial number: 604000009,,,,Serial number of connected stacker:,,,,
Firmware: V_2.11_04/08_InfiniTe (Apr  4 2008/14.37.11),,,,"MAI, V_2.11_04/08_InfiniTe (Apr  4 2008/14.37.11)",,,,,,,,
,,,,,,,,,,,,
Date:,10/30/17,,,,,,,,,,,
Time:,6:37:00 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,ARNOLDGROUP-PC,,,,,,,,
User,,,,Arnoldgroup-PC\Arnold group,,,,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
Shaking (Linear) Duration:,,,,5,s,,,,,,,
Shaking (Linear) Amplitude:,,,,2,mm,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: Label1,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,300,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Start Time:,10/30/2017 6:37:05 PM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 26.2 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,1.737200022,1.71329999,1.800500035,1.893900037,1.923499942,1.849400043,1.822700024,1.953400016,1.863299966,2.031199932,1.833400011,1.811100006
B,1.883399963,1.912199974,1.979099989,1.847000003,1.965999961,1.9921,1.973500013,1.925400019,1.854900002,1.970199943,1.802999973,1.654299974
C,1.842800021,1.853000045,1.927999973,1.824699998,1.773200035,1.881500006,1.999500036,1.975999951,1.895300031,1.93599999,1.797000051,1.607499957
D,1.849900007,1.91170001,1.848099947,1.977100015,1.927000046,1.872300029,1.926599979,2.079999924,1.914999962,1.807899952,1.9296,1.684800029
E,1.843899965,1.836300015,1.850299954,1.923599958,1.876999974,1.94690001,1.966899991,1.973700047,1.968799949,2.023600101,1.815500021,0.879899979
F,1.794999957,1.861600041,1.92110002,1.959300041,1.930699944,1.985000014,1.908599973,1.9375,1.927399993,1.863800049,1.6954,0.976599991
G,1.780599952,1.712499976,1.797700047,1.811699986,1.77579999,1.826400042,1.791700006,1.815600038,1.757699966,1.730900049,1.6329,0.955500007
H,1.570799947,1.646000028,1.626799941,1.67990005,1.866299987,1.805799961,1.695799947,1.906900048,1.825500011,1.628900051,1.790099978,0.996399999
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,10/30/2017 6:38:22 PM,,,,,,,,,,,